inst   n     m   B    sumStd
AP087  1189  9   41   12.890039000000002
AP088  1980  13  66   11.695386000000001
AP089  1922  13  62   12.392752000000002
AP090  2016  14  63   13.210624999999999
AP091  2211  15  67   13.383885999999995
AP092  1360  9   40   13.418280999999999
AP093  1820  13  52   14.874126999999998
AP094  1584  11  44   14.869801999999998
AP095  1961  12  53   13.41062
AP096  1976  14  52   16.142128
AP097  2301  14  59   14.000564
AP098  1920  15  48   18.683328999999997
AP099  1845  14  45   18.331334999999996
AP100  1470  10  35   16.953165
MP001  1332  11  74   8.828432000000001
MP002  2128  13  112  6.950219
MP003  1900  13  95   8.141079
MP004  1785  12  85   8.429996999999998
MP005  2112  14  96   8.691539999999998
MP006  1242  9   54   9.879019
MP007  2040  14  85   9.780351
MP008  1650  12  66   10.873152999999999
MP009  1378  9   53   10.126723
MP010  1998  12  74   9.722237999999999
MP011  1596  11  57   11.44618
MP012  1218  9   42   12.680366000000003
MP013  1500  12  50   14.281647
MP014  1860  10  60   9.940083999999999
MP015  2080  14  65   12.819336
MP016  1749  13  53   14.522749
MP017  1836  13  54   14.228622
MP018  2030  14  58   14.349021999999998
MP019  1548  10  43   13.712252
MP020  1887  13  51   15.198478
MP021  2052  13  54   14.375351999999994
MP022  1326  9   34   15.673708
MP023  2160  14  54   15.463735
MP024  1763  12  43   16.584833
MP025  1596  10  38   15.715535
MP026  1404  10  78   7.616979000000001
MP027  1596  10  84   7.093052999999999
MP028  1580  11  79   8.271073
MP029  1785  13  85   9.079002
MP030  1342  9   61   8.810639
MP031  1932  12  84   8.481670999999999
MP032  1872  14  78   10.708704
MP033  2200  13  88   8.806421000000002
MP034  1612  11  62   10.509205
MP035  1674  11  62   10.578672000000001
MP036  1736  11  62   10.568758000000003
MP037  1885  14  65   12.727489999999998
MP038  1920  13  64   12.077647
MP039  1364  10  44   13.47784
MP040  2144  14  67   12.463050000000003
MP041  1617  10  49   12.067067
MP042  2074  15  61   14.579597999999997
MP043  1610  11  46   14.072450999999997
MP044  2088  14  58   14.42696
MP045  1665  11  45   14.625396999999996
MP046  1824  12  48   14.950546000000001
MP047  1248  9   32   16.716275000000003
MP048  1960  14  49   16.832468
MP049  2009  15  49   18.038505000000004
MP050  1512  10  36   16.342475
MP051  1494  11  83   7.8938359999999985
MP052  1653  11  87   7.5794999999999995
MP053  2280  14  114  7.306762000000001
MP054  1932  14  92   9.090633
MP055  2134  15  97   9.188795999999998
MP056  1886  13  82   9.446401999999999
MP057  1752  14  73   11.394241000000001
MP058  2400  15  96   9.373319000000002
MP059  1716  11  66   9.867617999999998
MP060  1404  11  52   12.542648999999997
MP061  1848  11  66   9.884339000000002
MP062  2291  14  79   10.575003000000002
MP063  1470  11  49   13.384625
MP064  2139  14  69   12.153002
MP065  1792  12  56   12.819595
MP066  1386  9   42   12.743058000000001
MP067  2074  15  61   14.519744000000003
MP068  2275  15  65   13.740403999999996
MP069  1836  13  51   15.262363999999996
MP070  1332  9   36   14.608496999999998
MP071  1786  12  47   15.040455
MP072  1404  9   36   14.80487
MP073  1560  10  39   15.154817000000003
MP074  1804  13  44   17.593311
MP075  1848  14  44   19.062829999999998
MP076  1656  12  92   7.799295000000001
MP077  2185  15  115  7.801359
MP078  1600  13  80   9.638551
MP079  2520  13  120  6.462414000000001
MP080  1408  10  64   9.235047
MP081  1633  13  71   10.964063
MP082  1704  13  71   10.850025999999998
MP083  1950  14  78   10.734831999999997
MP084  1768  12  68   10.532598
MP085  1674  11  62   10.484419999999997
MP086  1764  12  63   11.391224999999999
MP087  1914  14  66   12.543486999999999
MP088  1860  13  62   12.493412999999999
MP089  1519  11  49   13.397485
MP090  2368  14  74   11.327183
MP091  1848  15  56   15.874267999999997
MP092  1598  12  47   15.081968000000002
MP093  1470  10  42   14.173389000000002
MP094  1980  12  55   13.045088999999995
MP095  1739  12  47   15.241337
MP096  1786  12  47   15.103280999999999
MP097  1287  9   33   16.298839
MP098  2040  13  51   15.051176
MP099  1968  14  48   17.348699000000007
MP100  1470  10  35   16.863733
