inst        n     m   B   sumStd
ap-19-64-0  2688  19  42  27.060100000000016
ap-19-66-1  2772  19  42  26.76721100000001
ap-20-44-1  3168  20  72  16.58008
ap-20-44-3  3124  20  71  16.668817
ap-20-45-2  2790  20  62  19.102047999999996
ap-20-49-1  3136  20  64  18.503567000000004
ap-20-50-1  3150  20  63  18.913072000000003
ap-20-52-0  3016  20  58  20.474511
ap-20-55-2  2805  20  51  23.468457999999995
ap-20-57-3  3078  20  54  22.151536999999998
ap-20-64-3  3072  20  48  24.813323999999994
ap-20-66-2  2772  20  42  28.049339999999997
ap-20-66-3  3036  20  46  25.537926999999996
ap-21-45-0  3240  21  72  17.460752999999997
ap-21-46-1  3312  21  72  17.499589
ap-21-47-1  3337  21  71  17.728096
ap-21-51-0  3111  21  61  20.554364999999997
ap-21-51-1  3213  21  63  19.936039000000005
ap-21-53-3  3233  21  61  20.562316999999997
ap-21-54-1  3186  21  59  21.013561000000003
ap-21-54-3  3240  21  60  20.976263999999997
ap-21-60-1  3120  21  52  24.103703000000007
ap-21-62-0  3162  21  51  24.31624800000001
ap-21-63-2  2898  21  46  26.942474999999995
ap-21-63-3  3213  21  51  24.349243999999995
ap-21-64-1  3136  21  49  25.48751300000001
ap-22-43-3  3440  22  80  16.430285
ap-22-46-3  3450  22  75  17.387278000000002
ap-22-47-2  3102  22  66  19.931340999999996
ap-22-48-3  3456  22  72  18.267248000000002
ap-22-49-3  3430  22  70  18.659631
ap-22-50-3  3400  22  68  19.304167
ap-22-51-2  3060  22  60  21.851689999999994
ap-22-56-0  3360  22  60  21.743462000000005
ap-22-56-3  3360  22  60  21.843362
ap-22-58-0  3364  22  58  22.525774000000002
ap-22-58-3  3364  22  58  22.548135999999996
ap-22-59-1  3245  22  55  23.598407000000005
ap-22-61-2  3050  22  50  26.044540999999995
ap-22-61-3  3355  22  55  23.757917999999997
ap-22-65-0  3315  22  51  25.402387000000004
ap-22-65-3  3380  22  52  25.263601999999995
mp-16-43-3  2494  16  58  16.430285
mp-16-44-1  2508  16  57  16.58008
mp-16-47-1  2538  16  54  17.728096
mp-16-48-1  2544  16  53  17.975706000000002
mp-16-48-2  2256  16  47  20.297492999999996
mp-16-49-2  2254  16  46  20.698458999999996
mp-16-51-0  2448  16  48  19.885649
mp-16-54-1  2430  16  45  21.013561000000003
mp-16-55-3  2420  16  44  21.564764999999998
mp-16-56-1  2408  16  43  21.864640000000005
mp-16-57-0  2337  16  41  23.071419999999993
mp-16-61-1  2318  16  38  24.70046500000001
mp-16-63-2  2205  16  35  26.942474999999995
mp-16-63-3  2457  16  39  24.349243999999995
mp-16-64-0  2624  16  41  23.09187000000001
mp-16-65-2  2210  16  34  27.891446999999996
mp-16-65-3  2405  16  37  25.263601999999995
mp-16-66-2  2244  16  34  28.049339999999997
mp-17-46-1  2668  17  58  17.499589
mp-17-46-3  2668  17  58  17.387278000000002
mp-17-47-2  2397  17  51  19.931340999999996
mp-17-49-0  2597  17  53  19.024359999999998
mp-17-50-3  2600  17  52  19.304167
mp-17-51-2  2346  17  46  21.851689999999994
mp-17-52-1  2600  17  50  20.229547000000004
mp-17-52-3  2600  17  50  20.393041999999998
mp-17-57-1  2565  17  45  22.211801000000005
mp-17-65-0  2405  17  37  27.198565000000006
mp-17-65-1  2535  17  39  26.09723100000001
mp-17-66-0  2508  17  38  26.531783000000004
mp-17-66-3  2574  17  39  25.537926999999996
mp-17-67-0  2345  17  35  28.364386000000003
mp-17-67-1  2479  17  37  27.41634600000001
mp-18-44-3  2816  18  64  16.668817
mp-18-51-1  2754  18  54  19.936039000000005
mp-18-53-2  2491  18  47  22.973171999999995
mp-18-53-3  2756  18  52  20.562316999999997
mp-18-55-1  2805  18  51  21.113561000000004
mp-18-56-0  2576  18  46  23.222194000000005
mp-18-57-2  2508  18  44  24.148102999999992
mp-18-58-0  2494  18  43  25.037739
mp-18-58-3  2726  18  47  22.548135999999996
mp-18-60-2  2460  18  41  25.944540999999994
mp-18-61-2  2501  18  41  26.044540999999995
mp-18-61-3  2745  18  45  23.757917999999997
mp-18-63-1  2709  18  43  25.02150000000001
mp-19-43-0  2666  19  62  18.202810999999997
mp-19-43-2  2709  19  63  17.894338999999995
mp-19-44-0  2860  19  65  17.389860000000002
mp-19-45-2  2655  19  59  19.102047999999996
mp-19-46-2  2668  19  58  19.339359999999996
mp-19-48-3  2976  19  62  18.267248000000002
mp-19-50-1  3000  19  60  18.913072000000003
mp-19-52-0  2756  19  53  21.220958999999997
mp-19-54-0  2592  19  48  23.708391
mp-19-55-0  2805  19  51  22.043384
mp-19-56-2  2688  19  48  23.717623999999994
mp-19-59-1  2832  19  48  23.598407000000005
mp-19-59-3  2891  19  49  23.117337999999997
mp-19-60-3  2880  19  48  23.519593999999998
mp-19-63-0  2520  19  40  27.968186000000006
mp-19-64-1  2816  19  44  25.48751300000001
mp-19-64-2  2624  19  41  27.607810999999995
mp-20-43-1  3268  20  76  15.788745
mp-20-45-1  3150  20  70  17.07572
mp-20-45-3  3195  20  71  16.768817000000002
mp-20-50-0  2800  20  56  21.216815
mp-20-50-2  2800  20  56  21.239934999999996
mp-20-56-3  3024  20  54  21.843362
mp-20-58-1  3016  20  52  22.781060000000004
mp-20-59-0  2891  20  49  24.096757
mp-20-60-0  2880  20  48  24.807378
mp-20-60-1  2940  20  49  24.103703000000007
mp-20-61-0  3050  20  50  23.729614
mp-20-62-1  2976  20  48  24.80046500000001
mp-20-62-3  3038  20  49  24.046780999999996
mp-20-66-1  2904  20  44  26.76721100000001
mp-20-67-3  3082  20  46  25.709195999999995
mp-21-45-0  3285  21  73  17.187037
mp-21-47-0  2867  21  61  20.466874999999998
mp-21-49-1  3332  21  68  18.503567000000004
mp-21-51-3  3213  21  63  19.961398
mp-21-52-2  2912  21  56  22.458830999999993
mp-21-53-0  3339  21  63  19.989592
mp-21-54-2  2862  21  53  23.368457999999993
mp-21-55-2  2915  21  53  23.468457999999995
mp-21-58-2  2900  21  50  24.917430999999993
mp-21-59-2  2891  21  49  25.345233999999994
mp-21-62-0  2852  21  46  27.145073999999997
mp-21-62-2  2914  21  47  26.709975999999994
mp-21-64-3  3200  21  50  24.813323999999994
mp-22-44-2  3124  22  71  18.558234999999996
mp-22-46-0  2990  22  65  20.240337
mp-22-47-3  3478  22  74  17.669411000000004
mp-22-48-0  3168  22  66  19.856801000000004
mp-22-49-3  3430  22  70  18.659631
mp-22-53-1  3339  22  63  20.698664000000004
mp-22-54-3  3348  22  62  20.976263999999997
mp-22-57-3  3363  22  59  22.151536999999998
mp-22-67-2  3082  22  46  28.385941999999996
